form,data
&#39;&#39;,"&#39;&#39;,PUNCT,None"
",",",,PUNCT,None"
Скопье,"Скопье,PROPN,Inan,Nom,Neut,Sing"
.,".,PUNCT,None"
С,"с,ADP,None"
целью,"цель,NOUN,Inan,Ins,Fem,Sing"
дезинформации,"дезинформация,NOUN,Inan,Gen,Fem,Sing"
противника,"противник,NOUN,Anim,Gen,Masc,Sing"
",",",,PUNCT,None"
командование,"командование,NOUN,Inan,Nom,Neut,Sing"
Забайкальской,"забайкальский,ADJ,Gen,Pos,Fem,Sing"
группы,"группа,NOUN,Inan,Gen,Fem,Sing"
ОДВА,"ОДВА,PROPN,Inan,Gen,Fem,Sing"
провела,"провести,VERB,Perf,Fem,Ind,Sing,Past,Fin,Act"
переименование,"переименование,NOUN,Inan,Acc,Neut,Sing"
62-го,"62-й,ADJ,Gen,Masc,Sing"
и,"и,CCONJ,None"
63-го,"63-й,ADJ,Gen,Masc,Sing"
стрелковых,"стрелковый,ADJ,Gen,Pos,Plur"
полков,"полк,NOUN,Inan,Gen,Masc,Plur"
21-й,"21-й,ADJ,Gen,Fem,Sing"
стрелковой,"стрелковый,ADJ,Gen,Pos,Fem,Sing"
дивизии,"дивизия,NOUN,Inan,Gen,Fem,Sing"
(,"(,PUNCT,None"
так,"так,ADV,Pos"
",",",,PUNCT,None"
63-й,"63-й,ADJ,Nom,Masc,Sing"
стрелковый,"стрелковый,ADJ,Nom,Pos,Masc,Sing"
полк,"полк,NOUN,Inan,Nom,Masc,Sing"
временно,"временно,ADV,Pos"
получил,"получить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
наименование,"наименование,NOUN,Inan,Acc,Neut,Sing"
``,"``,PUNCT,None"
36-го,"36-й,ADJ,Gen,Masc,Sing"
стрелкового,"стрелковый,ADJ,Gen,Pos,Masc,Sing"
полка,"полк,NOUN,Inan,Gen,Masc,Sing"
12-й,"12-й,ADJ,Gen,Fem,Sing"
стрелковой,"стрелковый,ADJ,Gen,Pos,Fem,Sing"
дивизии,"дивизия,NOUN,Inan,Gen,Fem,Sing"
имени,"имени,ADP,None"
Сибревкома,"Сибревком,PROPN,Inan,Gen,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
),"),PUNCT,None"
",",",,PUNCT,None"
а,"а,CCONJ,None"
за,"за,ADP,None"
день,"день,NOUN,Inan,Acc,Masc,Sing"
до,"до,ADP,None"
начала,"начало,NOUN,Inan,Gen,Neut,Sing"
операции,"операция,NOUN,Inan,Gen,Fem,Sing"
на,"на,ADP,None"
станцию,"станция,NOUN,Inan,Acc,Fem,Sing"
Маньчжурия,"Маньчжурия,PROPN,Inan,Nom,Fem,Sing"
по,"по,ADP,None"
общему,"общий,ADJ,Dat,Pos,Masc,Sing"
телеграфу,"телеграф,NOUN,Inan,Dat,Masc,Sing"
был,"быть,AUX,Imp,Masc,Ind,Sing,Past,Fin"
передан,"передать,VERB,Inan,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
оперативный,"оперативный,ADJ,Nom,Pos,Masc,Sing"
приказ,"приказ,NOUN,Inan,Nom,Masc,Sing"
``,"``,PUNCT,None"
Подготовиться,"подготовиться,VERB,Perf,Inf,Mid"
к,"к,ADP,None"
движению,"движение,NOUN,Inan,Dat,Neut,Sing"
на,"на,ADP,None"
Хайлар,"Хайлар,PROPN,Inan,Acc,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
.,".,PUNCT,None"
В,"в,ADP,None"
России,"Россия,PROPN,Inan,Loc,Fem,Sing"
косой,"косой,ADJ,Inan,Acc,Pos,Masc,Sing"
крест,"крест,NOUN,Inan,Acc,Masc,Sing"
зачастую,"зачастую,ADV,Pos"
называют,"называть,VERB,Imp,Ind,Plur,3,Pres,Fin,Act"
андреевским,"андреевский,ADJ,Ins,Pos,Masc,Sing"
.,".,PUNCT,None"
Это,"этот,DET,Nom,Neut,Sing"
удлиненное,"удлиненный,ADJ,Nom,Pos,Neut,Sing"
колбасовидное,"колбасовидный,ADJ,Nom,Pos,Neut,Sing"
образование,"образование,NOUN,Inan,Nom,Neut,Sing"
простирается,"простираться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
в,"в,ADP,None"
покрышке,"покрышка,NOUN,Inan,Loc,Fem,Sing"
ножки,"ножка,NOUN,Inan,Gen,Fem,Sing"
мозга,"мозг,NOUN,Inan,Gen,Masc,Sing"
от,"от,ADP,None"
гипоталамуса,"гипоталамус,NOUN,Inan,Gen,Masc,Sing"
промежуточного,"промежуточный,ADJ,Gen,Pos,Masc,Sing"
мозга,"мозг,NOUN,Inan,Gen,Masc,Sing"
до,"до,ADP,None"
нижнего,"нижний,ADJ,Gen,Pos,Neut,Sing"
двухолмия,"двухолмие,NOUN,Inan,Gen,Neut,Sing"
",",",,PUNCT,None"
где,"где,ADV,None"
от,"от,ADP,None"
него,"оно,PRON,Gen,Neut,Sing,3"
начинается,"начинаться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
важный,"важный,ADJ,Nom,Pos,Masc,Sing"
нисходящий,"нисходящий,ADJ,Nom,Pos,Masc,Sing"
тракт,"тракт,NOUN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
tractus,"tractus,X,Yes"
rubrospinal,"rubrospinal,X,Yes"
",",",,PUNCT,None"
соединяющий,"соединять,VERB,Inan,Imp,Nom,Masc,Sing,Pres,Part,Act"
красное,"красный,ADJ,Acc,Pos,Neut,Sing"
ядро,"ядро,NOUN,Inan,Acc,Neut,Sing"
с,"с,ADP,None"
передними,"передний,ADJ,Ins,Pos,Plur"
рогами,"рог,NOUN,Inan,Ins,Masc,Plur"
спинного,"спинной,ADJ,Gen,Pos,Masc,Sing"
мозга,"мозг,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
26,"26,ADJ,Gen,Pos,Neut,Sing"
июля,"июль,NOUN,Inan,Gen,Masc,Sing"
811,"811,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
болгары,"болгарин,NOUN,Anim,Nom,Masc,Plur"
атаковали,"атаковать,VERB,Perf,Ind,Plur,Past,Fin,Act"
центр,"центр,NOUN,Inan,Acc,Masc,Sing"
византийской,"византийский,ADJ,Gen,Pos,Fem,Sing"
армии,"армия,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
где,"где,ADV,None"
был,"быть,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
императорский,"императорский,ADJ,Nom,Pos,Masc,Sing"
отряд,"отряд,NOUN,Inan,Nom,Masc,Sing"
.,".,PUNCT,None"
Тренер,"тренер,NOUN,Anim,Nom,Masc,Sing"
пригласил,"пригласить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
в,"в,ADP,None"
команду,"команда,NOUN,Inan,Acc,Fem,Sing"
ряд,"ряд,NOUN,Inan,Acc,Masc,Sing"
опытных,"опытный,ADJ,Gen,Pos,Plur"
футболистов,"футболист,NOUN,Anim,Gen,Masc,Plur"
",",",,PUNCT,None"
Кирилла,"Кирилл,PROPN,Anim,Acc,Masc,Sing"
Доронина,"Доронин,PROPN,Anim,Acc,Masc,Sing"
",",",,PUNCT,None"
Валерия,"Валерий,PROPN,Anim,Acc,Masc,Sing"
Фадеева,"Фадеев,PROPN,Anim,Acc,Masc,Sing"
из,"из,ADP,None"
московского,"московский,ADJ,Gen,Pos,Neut,Sing"
``,"``,PUNCT,None"
Динамо,"динамо,NOUN,Inan,Gen,Neut,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
",",",,PUNCT,None"
спартаковца,"спартаковец,NOUN,Anim,Acc,Masc,Sing"
Ивана,"Иван,PROPN,Anim,Acc,Masc,Sing"
Варламова,"Варламов,PROPN,Anim,Acc,Masc,Sing"
.,".,PUNCT,None"
Курское,"курский,ADJ,Nom,Pos,Neut,Sing"
наместничество,"наместничество,NOUN,Inan,Nom,Neut,Sing"
существовало,"существовать,VERB,Imp,Neut,Ind,Sing,Past,Fin,Act"
без,"без,ADP,None"
значительных,"значительный,ADJ,Gen,Pos,Plur"
территориальных,"территориальный,ADJ,Gen,Pos,Plur"
и,"и,CCONJ,None"
административных,"административный,ADJ,Gen,Pos,Plur"
изменений,"изменение,NOUN,Inan,Gen,Neut,Plur"
до,"до,ADP,None"
1796,"1796,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
12,"12,ADJ,Gen,Pos,Neut,Sing"
декабря,"декабрь,NOUN,Inan,Gen,Masc,Sing"
1796,"1796,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
указом,"указ,NOUN,Inan,Ins,Masc,Sing"
императора,"император,NOUN,Anim,Gen,Masc,Sing"
Павла,"Павел,PROPN,Anim,Gen,Masc,Sing"
I,"I,ADJ,Gen,Pos,Masc,Sing"
Курское,"курский,ADJ,Nom,Pos,Neut,Sing"
наместничество,"наместничество,NOUN,Inan,Nom,Neut,Sing"
было,"быть,AUX,Imp,Neut,Ind,Sing,Past,Fin"
упразднено,"упразднить,VERB,Inan,Perf,Nom,Neut,Sing,Past,Short,Part,Pass"
и,"и,CCONJ,None"
официально,"официально,ADV,Pos"
поименовано,"поименовать,VERB,Inan,Perf,Nom,Neut,Sing,Past,Short,Part,Pass"
губернией,"губерния,NOUN,Inan,Ins,Fem,Sing"
.,".,PUNCT,None"
Нумерация,"нумерация,NOUN,Inan,Nom,Fem,Sing"
домов,"дом,NOUN,Inan,Gen,Masc,Plur"
начинается,"начинаться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
от,"от,ADP,None"
Михневской,"михневский,ADJ,Gen,Pos,Fem,Sing"
улицы,"улица,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
дома,"дом,NOUN,Inan,Nom,Masc,Plur"
имеют,"иметь,VERB,Imp,Ind,Plur,3,Pres,Fin,Act"
индексы,"индекс,NOUN,Inan,Acc,Masc,Plur"
115372,"115372,NUM,Inan,Nom,Masc,Card"
",",",,PUNCT,None"
115547,"115547,NUM,Nom,Card"
",",",,PUNCT,None"
115598,"115598,NUM,Nom,Card"
.,".,PUNCT,None"
Проект,"проект,NOUN,Inan,Nom,Masc,Sing"
сильно,"сильно,ADV,Pos"
отличался,"отличаться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
от,"от,ADP,None"
предыдущих,"предыдущий,ADJ,Gen,Pos,Plur"
подлодок,"подлодка,NOUN,Inan,Gen,Fem,Plur"
не,"не,PART,Neg"
только,"только,PART,None"
обводами,"обвод,NOUN,Inan,Ins,Masc,Plur"
корпуса,"корпус,NOUN,Inan,Gen,Masc,Sing"
и,"и,CCONJ,None"
энергетической,"энергетический,ADJ,Ins,Pos,Fem,Sing"
установкой,"установка,NOUN,Inan,Ins,Fem,Sing"
.,".,PUNCT,None"
Мы,"мы,PRON,Nom,Plur,1"
потратили,"потратить,VERB,Perf,Ind,Plur,Past,Fin,Act"
на,"на,ADP,None"
это,"это,PRON,Inan,Acc,Neut,Sing"
2,"2,NUM,Inan,Acc,Masc,Card"
или,"или,CCONJ,None"
3,"3,NUM,Inan,Acc,Card"
года,"год,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
80,"80,ADJ,Inan,Acc,Pos,Plur"
-,"-,PUNCT,None"
90-е,"90-й,ADJ,Inan,Acc,Pos,Plur"
годы,"год,NOUN,Inan,Acc,Masc,Plur"
прошлого,"прошлый,ADJ,Gen,Pos,Masc,Sing"
века,"век,NOUN,Inan,Gen,Masc,Sing"
в,"в,ADP,None"
окрестностях,"окрестности,NOUN,Inan,Loc,Fem,Plur"
сел,"село,NOUN,Inan,Gen,Neut,Plur"
Линёвка,"Линевка,PROPN,Inan,Nom,Fem,Sing"
",",",,PUNCT,None"
Изобильное,"изобильный,ADJ,Nom,Pos,Neut,Sing"
",",",,PUNCT,None"
Тамар-Уткуль,"Тамар-Уткуль,PROPN,Inan,Nom,Masc,Sing"
проводились,"проводиться,VERB,Imp,Ind,Plur,Past,Fin,Mid"
экспедиции,"экспедиция,NOUN,Nom,Plur"
археологической,"археологический,ADJ,Gen,Pos,Fem,Sing"
лаборатории,"лаборатория,NOUN,Inan,Gen,Fem,Sing"
Оренбургского,"оренбургский,ADJ,Gen,Pos,Masc,Sing"
педагогического,"педагогический,ADJ,Gen,Pos,Masc,Sing"
института,"институт,NOUN,Inan,Gen,Masc,Sing"
исследовавшие,"исследовать,VERB,Imp,Nom,Plur,Past,Part,Act"
курганы,"курган,NOUN,Inan,Acc,Masc,Plur"
различных,"различный,ADJ,Gen,Pos,Plur"
периодов,"период,NOUN,Inan,Gen,Masc,Plur"
бронзового,"бронзовый,ADJ,Gen,Pos,Masc,Sing"
века,"век,NOUN,Inan,Gen,Masc,Sing"
",",",,PUNCT,None"
раннего,"ранний,ADJ,Gen,Pos,Masc,Sing"
железного,"железный,ADJ,Gen,Pos,Masc,Sing"
века,"век,NOUN,Inan,Gen,Masc,Sing"
",",",,PUNCT,None"
а,"а,CCONJ,None"
также,"также,CCONJ,None"
эпохи,"эпоха,NOUN,Inan,Gen,Fem,Sing"
средневековья,"средневековье,NOUN,Inan,Gen,Neut,Sing"
.,".,PUNCT,None"
Многие,"многий,ADJ,Nom,Pos,Plur"
участники,"участник,NOUN,Anim,Nom,Masc,Plur"
и,"и,CCONJ,None"
администраторы,"администратор,NOUN,Anim,Nom,Masc,Plur"
сайта,"сайт,NOUN,Inan,Gen,Masc,Sing"
активно,"активно,ADV,Pos"
используют,"использовать,VERB,Imp,Ind,Plur,3,Pres,Fin,Act"
нецензурную,"нецензурный,ADJ,Acc,Pos,Fem,Sing"
лексику,"лексика,NOUN,Inan,Acc,Fem,Sing"
в,"в,ADP,None"
диалогах,"диалог,NOUN,Inan,Loc,Masc,Plur"
.,".,PUNCT,None"
Кёнигслуттер,"Кенигслуттер,PROPN,Inan,Nom,Masc,Sing"
),"),PUNCT,None"
--,"--,PUNCT,None"
немецкий,"немецкий,ADJ,Nom,Pos,Masc,Sing"
художник,"художник,NOUN,Anim,Nom,Masc,Sing"
",",",,PUNCT,None"
график,"график,NOUN,Anim,Nom,Masc,Sing"
и,"и,CCONJ,None"
скульптор,"скульптор,NOUN,Anim,Nom,Masc,Sing"
",",",,PUNCT,None"
представитель,"представитель,NOUN,Anim,Nom,Masc,Sing"
таких,"такой,DET,Gen,Plur"
направлений,"направление,NOUN,Inan,Gen,Neut,Plur"
в,"в,ADP,None"
искусстве,"искусство,NOUN,Inan,Loc,Neut,Sing"
",",",,PUNCT,None"
как,"как,ADP,None"
конструктивизм,"конструктивизм,NOUN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
абстракционизм,"абстракционизм,NOUN,Inan,Nom,Masc,Sing"
и,"и,CCONJ,None"
конкретное,"конкретный,ADJ,Nom,Pos,Neut,Sing"
искусство,"искусство,NOUN,Inan,Nom,Neut,Sing"
.,".,PUNCT,None"
Ма́лая,"малый,ADJ,Nom,Pos,Fem,Sing"
Обь,"Обь,PROPN,Inan,Nom,Fem,Sing"
--,"--,PUNCT,None"
один,"один,NUM,Inan,Nom,Masc,Sing,Card"
из,"из,ADP,None"
крупнейших,"крупнейший,ADJ,Gen,Pos,Plur"
речных,"речной,ADJ,Gen,Pos,Plur"
рукавов,"рукав,NOUN,Inan,Gen,Masc,Plur"
на,"на,ADP,None"
которые,"который,PRON,Inan,Acc,Plur"
делится,"делиться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
нижняя,"нижний,ADJ,Nom,Pos,Fem,Sing"
Обь,"Обь,PROPN,Inan,Nom,Fem,Sing"
(,"(,PUNCT,None"
другой,"другой,ADJ,Nom,Pos,Masc,Sing"
--,"--,PUNCT,None"
Большая,"большой,ADJ,Nom,Pos,Fem,Sing"
Обь,"Обь,PROPN,Inan,Nom,Fem,Sing"
),"),PUNCT,None"
.,".,PUNCT,None"
С,"с,ADP,None"
1933,"1933,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
в,"в,ADP,None"
этом,"этот,DET,Loc,Masc,Sing"
доме,"дом,NOUN,Inan,Loc,Masc,Sing"
находился,"находиться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
Ленинградский,"ленинградский,ADJ,Nom,Pos,Masc,Sing"
Комитет,"комитет,NOUN,Inan,Nom,Masc,Sing"
по,"по,ADP,None"
радиофикации,"радиофикация,NOUN,Inan,Dat,Fem,Sing"
и,"и,CCONJ,None"
радиовещанию,"радиовещание,NOUN,Inan,Dat,Neut,Sing"
(,"(,PUNCT,None"
сейчас,"сейчас,ADV,Pos"
принадлежит,"принадлежать,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
ТРК,"трк,NOUN,Inan,Dat,Fem,Sing"
``,"``,PUNCT,None"
Петербург,"Петербург,PROPN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
Пятый,"пятый,ADJ,Nom,Pos,Masc,Sing"
канал,"канал,NOUN,Inan,Nom,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
),"),PUNCT,None"
.,".,PUNCT,None"
С,"с,ADP,None"
1907,"1907,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
--,"--,PUNCT,None"
актер,"актер,NOUN,Anim,Nom,Masc,Sing"
МХТ,"МХТ,PROPN,Inan,Gen,Masc,Sing"
",",",,PUNCT,None"
а,"а,CCONJ,None"
в,"в,ADP,None"
1908,"1908,ADJ,Loc,Pos,Masc,Sing"
−,"−,PUNCT,None"
1910,"1910,ADJ,Loc,Pos,Masc,Sing"
годах,"год,NOUN,Inan,Loc,Masc,Plur"
--,"--,PUNCT,None"
Театра,"театр,NOUN,Inan,Gen,Masc,Sing"
Комиссаржевской,"Комиссаржевская,PROPN,Anim,Gen,Fem,Sing"
.,".,PUNCT,None"
Менетриэ,"Менетриэ,PROPN,Anim,Nom,Masc,Sing"
опубликовал,"опубликовать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
``,"``,PUNCT,None"
Аннотированный,"аннотировать,VERB,Inan,Perf,Acc,Masc,Sing,Past,Part,Pass"
каталог,"каталог,NOUN,Inan,Acc,Masc,Sing"
объектов,"объект,NOUN,Inan,Gen,Masc,Plur"
зоологии,"зоология,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
собранных,"собрать,VERB,Inan,Perf,Gen,Plur,Past,Part,Pass"
во,"во,ADP,None"
время,"время,NOUN,Inan,Acc,Neut,Sing"
путешествия,"путешествие,NOUN,Inan,Gen,Neut,Sing"
по,"по,ADP,None"
Кавказу,"Кавказ,PROPN,Inan,Dat,Masc,Sing"
до,"до,ADP,None"
существующих,"существовать,VERB,Inan,Imp,Gen,Plur,Pres,Part,Act"
границ,"граница,NOUN,Inan,Gen,Fem,Plur"
с,"с,ADP,None"
Персией,"Персия,PROPN,Inan,Ins,Fem,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
.,".,PUNCT,None"
1,"1,ADJ,Gen,Pos,Neut,Sing"
января,"январь,NOUN,Inan,Gen,Masc,Sing"
1843,"1843,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
назначен,"назначить,VERB,Anim,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
временным,"временный,ADJ,Ins,Pos,Masc,Sing"
командующим,"командующий,NOUN,Anim,Ins,Masc,Sing"
3-й,"3-й,ADJ,Gen,Pos,Fem,Sing"
артиллерийской,"артиллерийский,ADJ,Gen,Pos,Fem,Sing"
дивизии,"дивизия,NOUN,Inan,Gen,Fem,Sing"
и,"и,CCONJ,None"
11,"11,ADJ,Gen,Pos,Neut,Sing"
апреля,"апрель,NOUN,Inan,Gen,Masc,Sing"
1840,"1840,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
с,"с,ADP,None"
производством,"производство,NOUN,Inan,Ins,Neut,Sing"
в,"в,ADP,None"
генерал-майоры,"генерал-майор,NOUN,Anim,Acc,Masc,Plur"
утверждён,"утвердить,VERB,Anim,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
в,"в,ADP,None"
занимаемой,"занимать,VERB,Inan,Imp,Loc,Fem,Sing,Pres,Part,Pass"
должности,"должность,NOUN,Inan,Loc,Fem,Sing"
.,".,PUNCT,None"
Дебют,"дебют,NOUN,Inan,Nom,Masc,Sing"
Митреского,"Митреский,PROPN,Anim,Gen,Masc,Sing"
состоялся,"состояться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
14,"14,ADJ,Gen,Pos,Neut,Sing"
августа,"август,NOUN,Inan,Gen,Masc,Sing"
2006,"2006,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
в,"в,ADP,None"
матче,"матч,NOUN,Inan,Loc,Masc,Sing"
первого,"первый,ADJ,Gen,Pos,Masc,Sing"
тура,"тур,NOUN,Inan,Gen,Masc,Sing"
второй,"второй,ADJ,Gen,Pos,Fem,Sing"
Бундеслиге,"Бундеслига,PROPN,Inan,Gen,Fem,Sing"
против,"против,ADP,None"
клуба,"клуб,NOUN,Inan,Gen,Masc,Sing"
``,"``,PUNCT,None"
Аугсбург,"Аугсбург,PROPN,Inan,Nom,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
",",",,PUNCT,None"
который,"который,PRON,Inan,Nom,Masc,Sing"
завершился,"завершиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
со,"со,ADP,None"
счётом,"счет,NOUN,Inan,Ins,Masc,Sing"
0:2,"0:2,NUM,Nom,Card"
в,"в,ADP,None"
пользу,"польза,NOUN,Inan,Acc,Fem,Sing"
``,"``,PUNCT,None"
Кёльна,"Кельн,PROPN,Inan,Gen,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
.,".,PUNCT,None"
Передние,"передний,ADJ,Nom,Pos,Plur"
крылья,"крыло,NOUN,Inan,Nom,Neut,Plur"
однотонные,"однотонный,ADJ,Nom,Pos,Plur"
",",",,PUNCT,None"
пятнистые,"пятнистый,ADJ,Nom,Pos,Plur"
",",",,PUNCT,None"
с,"с,ADP,None"
перевязями,"перевязь,NOUN,Inan,Ins,Fem,Plur"
.,".,PUNCT,None"
В,"в,ADP,None"
градоначальстве,"градоначальство,NOUN,Inan,Loc,Neut,Sing"
деревня,"деревня,NOUN,Inan,Nom,Fem,Sing"
состояла,"состоять,VERB,Imp,Fem,Ind,Sing,Past,Fin,Act"
до,"до,ADP,None"
советской,"советский,ADJ,Gen,Pos,Fem,Sing"
реформы,"реформа,NOUN,Inan,Gen,Fem,Sing"
административного,"административный,ADJ,Gen,Pos,Neut,Sing"
деления,"деление,NOUN,Inan,Gen,Neut,Sing"
в,"в,ADP,None"
1921,"1921,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
2008,"2008,ADJ,Nom,Pos,Masc,Sing"
год,"год,NOUN,Inan,Nom,Masc,Sing"
--,"--,PUNCT,None"
подключение,"подключение,NOUN,Inan,Nom,Neut,Sing"
к,"к,ADP,None"
районной,"районный,ADJ,Dat,Pos,Fem,Sing"
газовой,"газовый,ADJ,Dat,Pos,Fem,Sing"
сети,"сеть,NOUN,Inan,Dat,Fem,Sing"
части,"часть,NOUN,Inan,Gen,Fem,Sing"
сельских,"сельский,ADJ,Gen,Pos,Plur"
домов,"дом,NOUN,Inan,Gen,Masc,Plur"
В,"в,ADP,None"
современном,"современный,ADJ,Loc,Pos,Neut,Sing"
Моховом,"моховой,ADJ,Loc,Pos,Neut,Sing"
действует,"действовать,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
два,"два,NUM,Inan,Nom,Masc,Card"
магазина,"магазин,NOUN,Inan,Gen,Masc,Sing"
:,":,PUNCT,None"
магазин,"магазин,NOUN,Inan,Nom,Masc,Sing"
Садовского,"садовский,ADJ,Gen,Pos,Neut,Sing"
сельпо,"сельпо,NOUN,Inan,Gen,Neut,Sing"
(,"(,PUNCT,None"
село,"село,NOUN,Inan,Nom,Neut,Sing"
Садовое,"садовый,ADJ,Nom,Pos,Neut,Sing"
Аннинского,"аннинский,ADJ,Gen,Pos,Masc,Sing"
района,"район,NOUN,Inan,Gen,Masc,Sing"
),"),PUNCT,None"
и,"и,CCONJ,None"
магазин,"магазин,NOUN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
организованный,"организовать,VERB,Inan,Perf,Nom,Masc,Sing,Past,Part,Pass"
местным,"местный,ADJ,Ins,Pos,Neut,Sing"
хозяйством,"хозяйство,NOUN,Inan,Ins,Neut,Sing"
.,".,PUNCT,None"
Получил,"получить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
образразование,"образразование,NOUN,Inan,Acc,Neut,Sing"
по,"по,ADP,None"
специальности,"специальность,NOUN,Inan,Dat,Fem,Sing"
Компьютерные,"компьютерный,ADJ,Nom,Pos,Plur"
и,"и,CCONJ,None"
сетевые,"сетевой,ADJ,Nom,Pos,Plur"
технологии,"технология,NOUN,Inan,Nom,Fem,Plur"
",",",,PUNCT,None"
стал,"стать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
аспирантом,"аспирант,NOUN,Anim,Ins,Masc,Sing"
.,".,PUNCT,None"
Вдоль,"вдоль,ADP,None"
течения,"течение,NOUN,Inan,Gen,Neut,Sing"
реки,"река,NOUN,Inan,Gen,Fem,Sing"
расположены,"расположить,VERB,Inan,Perf,Nom,Plur,Past,Short,Part,Pass"
населенные,"населенный,ADJ,Nom,Pos,Plur"
пункты,"пункт,NOUN,Inan,Nom,Masc,Plur"
Заводского,"заводский,ADJ,Gen,Pos,Neut,Sing"
сельского,"сельский,ADJ,Gen,Pos,Neut,Sing"
поселения,"поселение,NOUN,Inan,Gen,Neut,Sing"
Вяземского,"вяземский,ADJ,Gen,Pos,Masc,Sing"
районадеревни,"район_деревня,NOUN,Inan,Gen,Masc,Sing"
Бабенки,"Бабенки,PROPN,Inan,Nom,Fem,Plur"
",",",,PUNCT,None"
Годуновка,"Годуновка,PROPN,Inan,Nom,Fem,Sing"
.,".,PUNCT,None"
На,"на,ADP,None"
территории,"территория,NOUN,Inan,Loc,Fem,Sing"
района,"район,NOUN,Inan,Gen,Masc,Sing"
находятся,"находиться,VERB,Imp,Ind,Plur,3,Pres,Fin,Mid"
предприятия,"предприятие,NOUN,Inan,Nom,Neut,Plur"
по,"по,ADP,None"
переработке,"переработка,NOUN,Inan,Dat,Fem,Sing"
сельхозпродукции,"сельхозпродукция,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
ремонтно-строительные,"ремонтно-строительный,ADJ,Nom,Pos,Plur"
организации,"организация,NOUN,Inan,Nom,Fem,Plur"
",",",,PUNCT,None"
лесхоз,"лесхоз,NOUN,Inan,Nom,Masc,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
Кубке,"кубок,NOUN,Inan,Loc,Masc,Sing"
мира,"мир,NOUN,Inan,Gen,Masc,Sing"
Ноусиайнен,"Ноусиайнен,PROPN,Anim,Nom,Masc,Sing"
дебютировал,"дебютировать,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
в,"в,ADP,None"
2003,"2003,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
декабре,"декабрь,NOUN,Inan,Loc,Masc,Sing"
2007,"2007,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
